transaction_id,amount,transaction_type,hour,distance_from_home_km,distance_from_last_txn_km,account_age_days,num_txns_last_24h,is_foreign,is_high_risk_merchant,is_fraud
TXN100051,80.82,online,12,14.45,0.07,2641,2,0,0,0
TXN100052,19.35,purchase,12,5.84,2.09,996,0,0,0,0
TXN100053,53.88,purchase,11,8.1,8.73,1902,1,0,0,0
TXN100054,152.39,withdrawal,11,3.65,0.34,2848,3,0,0,0
TXN100055,500.7,refund,23,30.33,358.45,187,12,0,0,1
TXN100056,187.29,purchase,14,8.23,1.91,3323,1,0,0,0
TXN100057,34.45,purchase,12,0.14,5.74,1034,1,0,0,0
TXN100058,6.28,withdrawal,10,6.13,3.52,2934,4,0,0,0
TXN100059,70.27,purchase,18,4.87,11.55,1050,1,0,0,0
TXN100060,169.85,withdrawal,8,4.15,10.32,372,1,0,0,0
TXN100061,72.31,withdrawal,8,37.31,0.97,837,1,0,0,0
TXN100062,47.29,purchase,15,2.75,1.21,3360,1,1,0,0
TXN100063,29.5,online,7,0.77,10.96,648,0,0,0,0
TXN100064,49.46,purchase,15,16.57,7.09,3045,3,0,0,0
TXN100065,14.31,purchase,9,1.33,1.87,2992,2,0,0,0
TXN100066,121.8,transfer,12,3.47,1.42,2112,0,1,0,0
TXN100067,96.2,purchase,19,35.12,4.77,2660,6,0,1,0
TXN100068,47.84,refund,13,6.33,8.57,2910,3,0,0,0
TXN100069,90.44,purchase,12,14.97,12.01,3229,4,0,0,0
TXN100070,24.6,purchase,14,3.19,4.17,313,3,0,0,0
TXN100071,74.18,purchase,8,1.65,5.68,2739,1,0,0,0
TXN100072,195.01,online,15,0.97,10.07,3262,3,0,1,0
TXN100073,7.13,purchase,20,31.94,4.09,2609,1,0,0,0
TXN100074,61.63,purchase,15,17.27,4.0,3171,2,0,0,0
TXN100075,47.05,purchase,13,16.56,1.51,2059,0,0,0,0
TXN100076,95.47,withdrawal,12,5.93,5.89,3387,2,0,0,0
TXN100077,66.98,online,9,16.57,0.9,2741,3,0,0,0
TXN100078,38.3,withdrawal,14,0.47,16.69,2387,1,0,0,0
TXN100079,31.95,purchase,15,29.92,4.97,554,2,0,1,0
TXN100080,134.7,purchase,16,24.67,0.95,312,1,0,1,0
TXN100081,155.1,online,11,1.64,3.27,1737,2,0,0,0
TXN100082,39.07,online,12,5.75,0.22,2115,5,1,0,0
TXN100083,44.12,refund,16,1.26,3.03,3118,2,0,0,0
TXN100084,126.29,purchase,12,35.91,3.77,1879,1,0,0,0
TXN100085,68.53,purchase,13,19.15,0.6,1739,2,0,0,0
TXN100086,45.41,withdrawal,16,7.83,5.55,1309,1,0,0,0
TXN100087,62.4,purchase,23,3.08,3.84,599,3,0,0,0
TXN100088,100.4,online,17,17.84,1.82,2959,1,0,0,0
TXN100089,525.44,purchase,2,617.61,251.1,374,12,1,0,1
TXN100090,66.31,purchase,12,1.67,1.93,667,4,0,0,0
TXN100091,28.4,purchase,7,2.29,1.56,155,1,0,0,0
TXN100092,267.18,online,16,8.84,1.99,2980,2,0,0,0
TXN100093,27.95,purchase,15,3.13,3.02,3524,5,0,0,0
TXN100094,27.42,purchase,16,12.07,0.8,640,1,0,0,0
TXN100095,47.81,purchase,19,8.83,1.39,1371,2,0,0,0
TXN100096,99.61,online,10,6.33,15.8,1882,1,0,0,0
TXN100097,90.06,transfer,11,2.56,13.92,2055,2,0,0,0
TXN100098,140.34,purchase,11,6.98,4.3,1664,2,0,0,0
TXN100099,90.58,purchase,11,22.7,10.03,212,4,0,0,0
TXN100100,99.9,withdrawal,17,14.27,0.05,2177,5,0,0,0
TXN100101,207.56,purchase,21,5.83,14.34,3481,1,0,0,0
TXN100102,23.46,online,19,4.14,7.04,2036,0,0,0,0
TXN100103,52.96,transfer,22,28.41,2.25,2271,0,0,0,0
TXN100104,23.29,online,16,1.03,2.25,1970,1,0,0,0
TXN100105,83.49,online,13,30.23,0.57,2024,1,0,0,0
TXN100106,73.14,purchase,10,5.32,3.43,1163,1,0,0,0
TXN100107,220.63,purchase,14,4.35,6.31,1886,1,0,0,0
TXN100108,89.32,transfer,18,2.69,0.08,2814,0,0,0,0
TXN100109,162.21,purchase,19,14.43,7.94,447,5,0,0,0
TXN100110,788.19,online,5,32.91,767.63,63,12,1,0,1
TXN100111,241.57,online,16,16.19,9.53,1554,2,0,0,0
TXN100112,551.67,online,1,136.55,279.97,347,5,1,1,1
TXN100113,96.03,purchase,9,5.05,6.63,1077,3,0,0,0
TXN100114,92.86,purchase,18,0.36,4.6,1986,4,0,0,0
TXN100115,55.71,online,13,9.51,1.92,1720,2,0,0,0
TXN100116,107.72,transfer,23,22.94,3.93,2114,1,0,0,0
TXN100117,110.18,online,17,6.17,5.36,1490,2,0,0,0
TXN100118,12.78,online,23,34.13,10.42,684,3,0,0,0
TXN100119,106.15,refund,19,6.18,3.22,1131,1,0,0,0
TXN100120,296.25,purchase,3,54.83,243.57,152,6,0,0,1
TXN100121,29.68,purchase,5,9.98,15.41,1345,1,0,0,0
TXN100122,84.72,refund,14,1.77,1.49,2740,2,0,0,0
TXN100123,86.28,online,12,2.32,2.61,749,2,1,0,0
TXN100124,176.81,online,10,0.65,8.39,2814,1,0,0,0
TXN100125,78.55,withdrawal,21,2.54,9.86,2607,4,0,0,0
TXN100126,150.04,online,12,11.42,12.56,1010,4,0,0,0
TXN100127,3.93,online,15,24.66,3.64,829,1,0,1,0
TXN100128,47.53,withdrawal,23,17.56,6.28,3326,1,1,0,0
TXN100129,102.74,online,14,13.0,2.87,1931,3,0,0,0
TXN100130,44.03,transfer,17,25.59,0.32,1888,1,0,1,0
TXN100131,156.2,online,20,9.67,3.56,3447,2,0,0,0
TXN100132,165.59,transfer,12,14.74,4.47,1782,2,0,0,0
TXN100133,115.79,transfer,16,12.37,3.12,154,3,0,0,0
TXN100134,86.87,purchase,15,22.2,0.27,1071,0,0,0,0
TXN100135,163.54,purchase,23,7.76,3.91,2881,1,0,0,0
TXN100136,101.64,purchase,18,24.56,4.44,2443,3,0,0,0
TXN100137,24.74,online,9,5.77,22.99,1855,1,1,0,0
TXN100138,68.94,online,10,15.11,4.32,3058,1,0,1,0
TXN100139,195.07,online,9,1.93,4.32,1153,4,0,1,0
TXN100140,62.85,purchase,16,0.33,4.27,1985,7,0,0,0
TXN100141,27.91,transfer,9,2.66,0.91,137,2,0,0,0
TXN100142,1.36,online,20,12.34,0.17,706,2,0,0,0
TXN100143,125.99,purchase,19,3.13,0.77,1228,0,0,0,0
TXN100144,60.9,transfer,22,2.04,5.93,2778,1,0,0,0
TXN100145,102.83,online,12,28.38,13.83,2336,6,0,0,0
TXN100146,70.03,purchase,10,0.56,1.33,564,2,0,0,0
TXN100147,16.67,purchase,16,2.2,6.68,635,1,0,0,0
TXN100148,56.97,online,19,7.09,4.92,595,1,0,0,0
TXN100149,88.13,purchase,13,3.21,2.32,449,0,0,0,0
TXN100150,106.13,withdrawal,9,3.39,3.52,3026,3,0,0,0
TXN100151,75.77,transfer,2,162.85,400.59,376,7,1,1,1
TXN100152,65.61,transfer,11,7.31,3.45,365,2,0,0,0
TXN100153,242.69,online,18,33.27,0.05,3217,0,0,1,0
TXN100154,81.54,purchase,17,0.04,3.36,1075,2,0,0,0
TXN100155,83.37,online,18,3.5,4.13,416,3,0,0,0
TXN100156,179.28,purchase,9,2.91,0.97,2294,4,0,0,0
TXN100157,94.42,purchase,17,8.56,3.36,2783,1,0,0,0
TXN100158,122.29,transfer,10,27.79,2.39,1111,4,0,0,0
TXN100159,68.53,online,20,1.89,2.51,1764,0,0,0,0
TXN100160,168.6,purchase,14,11.44,0.04,151,2,0,0,0
TXN100161,11.6,transfer,6,5.1,11.72,3497,2,0,0,0
TXN100162,230.18,purchase,5,1.49,7.8,3244,4,0,0,0
TXN100163,51.95,withdrawal,15,8.6,2.23,161,3,0,0,0
TXN100164,69.53,purchase,13,4.04,3.83,2712,3,0,0,0
TXN100165,71.16,purchase,13,0.42,3.63,922,2,0,0,0
TXN100166,73.47,online,14,0.99,2.36,3570,2,0,0,0
TXN100167,109.36,purchase,13,14.09,9.71,1657,2,0,0,0
TXN100168,175.81,refund,12,2.48,7.16,3285,1,0,0,0
TXN100169,71.24,online,8,8.05,4.99,1778,1,0,0,0
TXN100170,596.83,online,0,128.32,36.85,374,10,1,1,1
TXN100171,28.61,purchase,12,2.93,6.19,3062,1,0,0,0
TXN100172,157.91,purchase,12,1.65,8.93,2876,1,0,0,0
TXN100173,111.06,withdrawal,17,9.21,4.57,42,2,1,1,0
TXN100174,81.93,withdrawal,15,10.99,6.17,3397,4,0,0,0
TXN100175,64.49,withdrawal,8,13.83,2.83,1474,1,0,0,0
TXN100176,92.42,withdrawal,3,3.36,3.11,2273,3,0,1,0
TXN100177,143.75,purchase,14,8.14,2.46,1705,1,0,0,0
TXN100178,124.14,purchase,9,1.4,7.35,625,1,0,0,0
TXN100179,23.63,transfer,12,13.68,0.89,758,1,0,0,0
TXN100180,87.01,purchase,12,5.75,2.91,323,1,0,0,0
TXN100181,67.07,withdrawal,10,15.08,7.3,1331,4,1,0,0
TXN100182,159.14,withdrawal,15,1.47,5.72,590,1,0,0,0
TXN100183,630.07,transfer,2,269.37,502.84,369,5,0,0,1
TXN100184,157.15,online,9,5.6,8.01,2730,0,0,0,0
TXN100185,73.79,transfer,10,6.37,0.23,228,1,0,0,0
TXN100186,74.29,purchase,14,8.05,0.12,498,2,0,0,0
TXN100187,92.36,purchase,19,1.9,6.62,2756,3,0,0,0
TXN100188,58.9,online,19,1.82,13.56,2664,0,0,0,0
TXN100189,40.87,purchase,20,2.19,1.29,1011,3,0,0,0
TXN100190,21.69,purchase,16,1.49,1.11,819,2,0,0,0
TXN100191,29.74,transfer,17,5.32,9.54,2791,0,0,0,0
TXN100192,118.71,withdrawal,10,5.57,3.1,2271,2,0,0,0
TXN100193,147.95,online,20,8.61,3.26,3456,2,0,0,0
TXN100194,145.12,online,10,17.11,0.96,428,2,0,0,0
TXN100195,114.96,online,10,2.98,3.61,1724,1,0,0,0
TXN100196,22.25,purchase,15,0.26,6.94,1675,4,0,0,0
TXN100197,194.94,withdrawal,11,4.11,12.26,742,3,0,0,0
TXN100198,262.33,refund,18,0.32,2.9,457,3,0,0,0
TXN100199,71.82,purchase,9,1.79,1.36,1143,2,0,0,0
TXN100200,42.74,purchase,16,12.82,1.46,3443,1,0,0,0
TXN100201,96.27,purchase,14,1.54,0.42,2975,1,0,0,0
TXN100202,36.48,purchase,13,0.26,0.05,412,2,0,0,0
TXN100203,83.86,withdrawal,21,18.61,4.94,1023,3,0,1,0
TXN100204,25.39,purchase,12,14.51,2.31,2155,4,0,0,0
TXN100205,38.06,purchase,16,20.83,5.41,3612,2,1,0,0
TXN100206,114.19,purchase,12,0.42,4.94,1467,0,0,0,0
TXN100207,149.54,online,15,2.31,1.31,1109,4,0,0,0
TXN100208,61.54,withdrawal,13,1.21,1.64,994,3,0,0,0
TXN100209,76.67,purchase,10,0.7,15.27,1033,2,0,0,0
TXN100210,57.58,online,14,11.44,0.89,283,1,1,0,0
TXN100211,9.16,purchase,14,5.52,2.22,2023,2,0,0,0
TXN100212,95.14,online,14,0.94,7.93,2964,1,0,0,0
TXN100213,99.3,online,14,7.39,1.63,1155,2,0,0,0
TXN100214,43.48,withdrawal,13,8.26,1.27,321,1,0,0,0
TXN100215,33.26,purchase,18,4.65,5.12,1521,2,0,0,0
TXN100216,42.15,withdrawal,18,6.33,4.86,2155,3,0,0,0
TXN100217,85.37,online,15,10.99,4.07,3490,3,0,0,0
TXN100218,62.0,withdrawal,7,1.97,7.54,1503,2,0,0,0
TXN100219,44.04,transfer,11,4.62,2.72,998,7,0,1,0
TXN100220,13.11,purchase,16,16.35,1.65,1937,0,0,0,0
TXN100221,59.94,online,15,2.04,7.16,3343,2,0,0,0
TXN100222,105.02,online,8,51.03,2.63,1712,1,0,1,0
TXN100223,1042.68,withdrawal,5,223.19,395.66,75,7,1,1,1
TXN100224,40.87,withdrawal,14,1.32,6.72,3476,0,0,1,0
TXN100225,48.84,transfer,11,14.43,2.37,1936,1,0,0,0
TXN100226,77.68,purchase,16,19.1,0.59,2820,3,0,0,0
TXN100227,109.22,online,12,0.35,0.55,2642,3,1,0,0
TXN100228,69.42,purchase,17,2.96,1.9,95,1,0,0,0
TXN100229,91.13,online,13,8.58,12.01,3349,0,0,0,0
TXN100230,78.42,withdrawal,10,12.03,6.56,2049,4,0,0,0
TXN100231,230.9,purchase,13,11.59,4.64,3244,4,0,1,0
TXN100232,219.31,purchase,16,1.95,0.1,977,3,0,0,0
TXN100233,20.0,transfer,16,1.83,11.04,1760,5,0,1,0
TXN100234,73.53,purchase,17,7.25,6.63,2717,5,1,0,0
TXN100235,13.94,transfer,13,11.56,6.76,2203,0,0,0,0
TXN100236,41.95,withdrawal,8,19.94,6.27,2525,3,0,0,0
TXN100237,69.93,online,15,1.21,0.88,626,2,0,0,0
TXN100238,63.14,purchase,12,5.03,4.0,1172,1,0,0,0
TXN100239,242.51,online,16,5.54,3.94,913,3,0,0,0
TXN100240,92.86,online,23,11.33,1.29,3564,1,0,0,0
TXN100241,43.17,purchase,20,9.31,2.83,2679,0,0,0,0
TXN100242,152.11,withdrawal,19,0.18,0.67,2104,1,0,1,0
TXN100243,70.78,purchase,6,2.31,25.17,2651,2,0,0,0
TXN100244,8.15,online,12,0.05,8.6,238,1,0,0,0
TXN100245,15.76,purchase,15,2.14,0.86,112,4,0,0,0
TXN100246,77.4,purchase,8,13.69,11.84,1052,7,0,1,0
TXN100247,167.45,withdrawal,11,5.71,4.17,1390,2,0,0,0
TXN100248,78.96,purchase,16,13.19,0.28,974,1,0,0,0
TXN100249,188.1,withdrawal,13,11.02,1.07,843,2,0,0,0
TXN100250,117.22,transfer,11,3.55,8.25,3647,0,1,0,0
TXN100251,135.93,online,11,8.09,5.78,1801,2,0,0,0
TXN100252,94.31,withdrawal,5,16.13,13.58,1801,2,0,0,0
TXN100253,109.53,withdrawal,16,1.31,0.32,2922,1,1,0,0
TXN100254,106.14,purchase,17,8.25,14.21,680,1,0,0,0
TXN100255,186.91,purchase,3,834.42,158.34,270,6,1,0,1
TXN100256,335.98,online,15,28.25,10.36,3068,2,0,0,0
TXN100257,106.44,withdrawal,17,9.9,7.54,2019,2,0,0,0
TXN100258,179.05,online,11,3.39,4.52,3439,1,0,0,0
TXN100259,124.32,transfer,19,10.99,1.34,2419,3,0,1,0
TXN100260,55.99,online,15,0.52,12.83,2040,2,0,0,0
TXN100261,181.4,purchase,17,5.46,0.04,1214,4,0,0,0
TXN100262,46.94,online,10,9.0,2.28,1197,3,0,0,0
TXN100263,51.09,online,11,6.53,1.23,3417,2,0,0,0
TXN100264,72.79,purchase,15,2.06,1.04,1931,2,0,0,0
TXN100265,44.92,withdrawal,18,3.87,4.01,911,2,0,0,0
TXN100266,134.43,withdrawal,15,10.19,7.09,2984,0,0,0,0
TXN100267,29.02,purchase,11,10.31,2.83,3075,2,0,0,0
TXN100268,13.39,purchase,15,30.4,5.45,2477,0,0,0,0
TXN100269,63.24,purchase,6,0.42,0.55,558,2,0,1,0
TXN100270,82.38,purchase,11,2.19,5.1,1572,3,0,0,0
TXN100271,75.37,withdrawal,15,14.57,7.19,1258,5,0,0,0
TXN100272,139.16,purchase,16,1.95,9.18,2543,7,0,1,0
TXN100273,18.41,online,11,11.55,7.23,1659,1,0,0,0
TXN100274,44.16,online,16,18.32,4.15,2167,4,0,0,0
TXN100275,108.93,transfer,14,28.27,5.23,60,5,0,0,0
TXN100276,965.09,transfer,22,52.98,371.96,324,5,1,1,1
TXN100277,134.25,online,11,5.88,15.56,1892,4,0,0,0
TXN100278,202.64,purchase,11,10.83,1.12,3337,3,1,0,0
TXN100279,31.21,transfer,11,1.4,1.49,852,1,0,0,0
TXN100280,22.09,online,12,0.26,9.9,534,2,0,1,0
TXN100281,126.63,online,18,0.07,4.66,1479,2,0,0,0
TXN100282,195.08,online,11,5.23,5.12,1245,0,0,0,0
TXN100283,204.99,purchase,12,5.39,10.59,2164,2,0,0,0
TXN100284,52.72,transfer,14,4.44,1.3,1617,2,0,0,0
TXN100285,210.32,transfer,18,2.24,13.1,2956,2,0,0,0
TXN100286,95.45,purchase,10,7.81,9.56,220,3,0,0,0
TXN100287,1173.17,purchase,3,825.99,367.92,382,10,1,0,1
TXN100288,147.8,purchase,11,15.86,14.61,1999,3,1,0,0
TXN100289,187.36,withdrawal,12,47.56,3.0,1330,4,0,0,0
TXN100290,317.47,purchase,17,2.46,1.24,1060,0,0,0,0
TXN100291,89.84,transfer,15,6.4,4.45,179,0,0,0,0
TXN100292,44.76,transfer,15,1.54,0.4,398,4,0,0,0
TXN100293,62.39,purchase,21,0.17,2.78,1478,2,0,0,0
TXN100294,63.27,refund,12,10.73,6.15,2694,4,0,0,0
TXN100295,156.33,online,11,0.03,7.64,1874,1,0,0,0
TXN100296,20.8,purchase,15,8.65,7.68,267,1,0,0,0
TXN100297,119.1,purchase,12,7.62,0.94,3415,2,0,0,0
TXN100298,111.39,withdrawal,15,22.75,0.23,628,3,0,0,0
TXN100299,48.55,transfer,12,6.95,0.49,1755,1,0,0,0
TXN100300,86.26,transfer,16,15.39,9.58,1702,2,0,0,0
TXN100301,67.47,transfer,13,5.51,0.32,875,3,0,0,0
TXN100302,127.71,purchase,13,5.65,2.79,3006,3,0,0,0
TXN100303,90.69,online,15,2.83,2.71,762,2,0,0,0
TXN100304,29.75,purchase,21,13.07,22.57,3311,1,1,0,0
TXN100305,271.9,online,17,14.83,4.87,774,0,0,0,0
TXN100306,21.5,online,14,8.81,2.17,3519,6,0,0,0
TXN100307,30.48,online,12,0.24,0.73,216,3,0,0,0
TXN100308,100.28,purchase,16,7.54,6.52,1231,0,0,0,0
TXN100309,100.33,withdrawal,18,6.08,4.69,2576,2,0,0,0
TXN100310,134.24,purchase,11,2.82,6.83,3451,2,0,0,0
TXN100311,57.35,purchase,15,5.7,6.36,594,3,0,0,0
TXN100312,59.01,online,10,21.02,2.81,2685,2,0,0,0
TXN100313,69.1,online,10,3.87,11.68,2164,1,0,1,0
TXN100314,117.3,online,7,0.29,7.82,491,2,0,1,0
TXN100315,35.84,withdrawal,15,1.82,5.3,2189,2,0,0,0
TXN100316,23.26,purchase,10,1.53,2.06,1385,2,0,1,0
TXN100317,985.81,withdrawal,4,143.79,53.72,134,9,1,1,1
TXN100318,15.94,purchase,11,1.18,10.12,1746,3,0,0,0
TXN100319,34.29,withdrawal,12,17.59,2.96,3552,2,0,0,0
TXN100320,30.8,purchase,10,1.95,6.83,3628,4,0,0,0
TXN100321,88.77,transfer,18,15.81,3.69,1455,2,0,0,0
TXN100322,86.02,online,10,1.06,2.15,3427,1,0,0,0
TXN100323,96.45,purchase,15,7.47,4.59,3528,3,0,0,0
TXN100324,32.18,purchase,12,5.06,8.15,2992,1,1,0,0
TXN100325,169.14,withdrawal,15,4.25,0.47,600,3,0,0,0
TXN100326,82.21,online,11,0.03,0.7,2363,1,0,0,0
TXN100327,44.67,online,17,68.35,11.43,2671,5,0,0,0
TXN100328,107.65,transfer,19,8.14,4.01,271,4,0,0,0
TXN100329,48.89,purchase,15,0.22,1.95,2874,0,0,0,0
TXN100330,2.72,purchase,14,6.52,1.72,3047,0,0,0,0
TXN100331,21.77,refund,10,12.47,2.05,3461,1,0,0,0
TXN100332,103.29,purchase,18,1.07,0.57,576,6,0,1,0
TXN100333,58.49,withdrawal,16,21.68,0.38,719,1,0,0,0
TXN100334,101.22,purchase,11,6.08,7.13,879,3,0,0,0
TXN100335,647.39,online,22,58.72,217.62,89,8,1,1,1
TXN100336,242.83,online,13,3.17,7.15,2734,2,0,0,0
TXN100337,91.37,withdrawal,14,16.0,8.11,1425,1,0,0,0
TXN100338,158.51,withdrawal,16,4.77,6.43,2644,2,0,0,0
TXN100339,33.03,purchase,13,14.04,1.94,3094,3,0,0,0
TXN100340,25.3,online,22,8.54,4.11,2042,0,0,0,0
TXN100341,49.1,online,12,25.53,2.39,730,0,0,0,0
TXN100342,145.12,purchase,14,11.2,11.25,1351,2,0,0,0
TXN100343,108.71,online,7,9.65,7.26,1278,4,0,0,0
TXN100344,51.67,refund,7,5.09,3.64,424,2,0,0,0
TXN100345,42.91,purchase,5,0.18,15.92,1898,2,0,0,0
TXN100346,36.66,purchase,11,13.23,9.16,2782,1,0,0,0
TXN100347,208.64,purchase,12,3.8,2.89,1927,1,0,0,0
TXN100348,93.89,purchase,13,12.45,4.54,3065,1,0,0,0
TXN100349,84.07,purchase,13,3.41,0.4,3258,6,0,0,0
TXN100350,102.43,transfer,8,13.44,2.34,1748,0,0,0,0
TXN100351,73.05,online,9,7.06,11.31,2427,4,0,1,0
TXN100352,117.54,purchase,7,4.37,19.48,1696,3,0,1,0
TXN100353,40.16,refund,15,4.3,1.7,2980,3,0,0,0
TXN100354,74.43,purchase,12,0.86,5.05,861,3,0,0,0
TXN100355,98.69,online,10,3.07,3.73,1897,1,0,0,0
TXN100356,177.96,refund,15,2.49,2.38,2469,2,0,0,0
TXN100357,16.7,refund,11,6.81,4.48,1137,1,0,0,0
TXN100358,431.14,transfer,23,236.04,322.71,380,6,1,0,1
TXN100359,109.02,purchase,14,11.56,0.49,387,4,0,0,0
TXN100360,319.63,online,1,77.42,79.46,121,9,1,1,1
TXN100361,86.31,withdrawal,14,15.6,6.03,1817,3,0,0,0
TXN100362,53.87,online,18,21.36,9.72,2947,3,0,0,0
TXN100363,185.44,online,12,14.23,2.23,2371,3,0,0,0
TXN100364,333.06,online,10,12.14,3.29,2134,2,0,0,0
TXN100365,29.14,withdrawal,14,15.07,22.34,2422,1,0,0,0
TXN100366,184.52,purchase,12,33.21,0.79,3364,0,0,0,0
TXN100367,33.33,withdrawal,17,0.5,7.97,3189,4,0,0,0
TXN100368,236.6,withdrawal,4,6.1,13.35,2807,3,0,0,0
TXN100369,85.19,online,16,1.01,2.83,1011,2,0,0,0
TXN100370,107.46,purchase,9,4.38,3.19,418,3,0,1,0
TXN100371,25.83,withdrawal,6,1.04,0.82,1439,3,0,0,0
TXN100372,45.0,purchase,9,5.3,0.4,1540,1,0,0,0
TXN100373,219.53,purchase,17,3.69,11.34,3109,1,0,0,0
TXN100374,64.37,purchase,11,3.92,1.49,789,3,0,0,0
TXN100375,28.4,transfer,13,7.38,1.92,385,4,0,0,0
TXN100376,58.24,purchase,18,8.01,5.42,3320,2,0,0,0
TXN100377,255.44,transfer,13,16.73,7.17,3349,6,0,0,0
TXN100378,41.16,purchase,12,0.32,7.29,3326,1,0,0,0
TXN100379,188.02,withdrawal,14,5.49,4.01,2798,3,0,0,0
TXN100380,186.67,purchase,11,0.79,6.53,1759,1,0,0,0
TXN100381,56.48,withdrawal,13,0.7,16.97,1532,3,0,0,0
TXN100382,140.72,transfer,22,8.49,3.56,3397,0,0,0,0
TXN100383,55.72,transfer,13,1.03,0.86,2015,1,0,0,0
TXN100384,13.96,purchase,6,0.51,9.68,1447,4,1,0,0
TXN100385,121.86,online,19,0.27,8.88,2315,4,0,0,0
TXN100386,40.77,online,11,1.6,3.36,2433,3,0,0,0
TXN100387,15.91,withdrawal,10,2.14,6.82,152,1,0,0,0
TXN100388,187.14,transfer,13,14.24,5.73,1842,3,1,0,0
TXN100389,320.6,purchase,11,7.05,5.02,2874,2,0,0,0
TXN100390,106.47,purchase,23,4.33,2.22,3344,2,0,0,0
TXN100391,55.26,withdrawal,20,42.0,2.15,258,2,0,0,0
TXN100392,24.09,transfer,10,7.26,0.16,2732,3,0,0,0
TXN100393,98.45,online,16,4.47,6.36,1540,3,0,0,0
TXN100394,47.35,withdrawal,14,1.8,8.39,3248,1,0,0,0
TXN100395,93.52,purchase,7,0.84,1.28,748,1,0,0,0
TXN100396,113.42,transfer,15,16.9,3.01,2566,0,0,0,0
TXN100397,41.98,transfer,14,35.43,9.83,1684,3,0,0,0
TXN100398,25.24,withdrawal,15,2.33,3.73,1744,3,0,0,0
TXN100399,231.68,transfer,4,416.21,11.97,207,12,0,0,1
TXN100400,63.78,withdrawal,12,5.0,0.13,3212,3,0,0,0
